,year,state,treatment,patient,cost,treatment_category
1785,2018,Others,level 1 laparoscopy and related services,7026.0,2822729.4712929544,Other Diseases
1786,2018,Others,level 1 nerve procedures,7695.0,882600.7767944806,Other Diseases
1787,2018,Others,level 2 breast/lymphatic surgery and related procedures,2204.0,1774668.9235157412,Other Diseases
1788,2018,Others,level 2 electrophysiologic procedures,130.0,222323.20275295211,Respiratory
1789,2018,Others,level 2 endovascular procedures,3946.0,1927662.7218315084,Other Diseases
1790,2018,Others,level 2 excision/ biopsy/ incision and drainage,17991.0,942572.659662189,Other Diseases
1791,2018,Others,level 2 icd and similar procedures,1666.0,4892251.559928504,Respiratory
1792,2018,Others,level 2 intraocular procedures,1849.0,478429.32323550526,Other Diseases
1793,2018,Others,level 2 laparoscopy and related services,2354.0,2656569.6438040235,Other Diseases
1794,2018,Others,level 2 musculoskeletal procedures,4908.0,886592.9525530598,Other Diseases
1795,2018,Others,level 2 nerve procedures,37.0,80400.7514102562,Other Diseases
1796,2018,Others,level 2 neurostimulator and related procedures,792.0,732639.8662752514,Other Diseases
1797,2018,Others,level 2 pacemaker and similar procedures,1464.0,1334793.1914660495,Respiratory
1798,2018,Others,level 2 upper gi procedures,8072.0,836912.6585884988,Other Diseases
1799,2018,Others,level 3 airway endoscopy,1481.0,422011.4647872521,Other Diseases
1800,2018,Others,level 3 breast/lymphatic surgery and related procedures,16.0,52809.065625,Other Diseases
1801,2018,Others,level 3 electrophysiologic procedures,2615.0,3223160.9114852757,Respiratory
1802,2018,Others,level 3 endovascular procedures,6770.0,3326731.435572402,Other Diseases
1803,2018,Others,level 3 excision/ biopsy/ incision and drainage,2567.0,1159303.6098860288,Other Diseases
1804,2018,Others,"level 3 extraocular, repair, and plastic eye procedures",979.0,228363.82663463012,Other Diseases
1805,2018,Others,level 3 lower gi procedures,656.0,404520.364531544,Other Diseases
1806,2018,Others,level 3 musculoskeletal procedures,7464.0,1758653.3358500937,Other Diseases
1807,2018,Others,level 3 neurostimulator and related procedures,487.0,1027333.5956819898,Other Diseases
1808,2018,Others,level 3 pacemaker and similar procedures,2177.0,2007984.517210943,Respiratory
1809,2018,Others,level 3 upper gi procedures,817.0,462544.2953454354,Other Diseases
1810,2018,Others,level 3 urology and related services,8911.0,984351.7535227085,Other Diseases
1811,2018,Others,level 4 airway endoscopy,2586.0,915553.3160394971,Respiratory
1812,2018,Others,level 4 breast/lymphatic surgery and related procedures,30.0,132011.0086666666,Other Diseases
1813,2018,Others,level 4 ent procedures,493.0,287121.6200640575,Other Diseases
1814,2018,Others,level 4 endovascular procedures,994.0,2340755.661268791,Other Diseases
1815,2018,Others,"level 4 extraocular, repair, and plastic eye procedures",118.0,121815.6914041624,Other Diseases
1816,2018,Others,level 4 gynecologic procedures,1800.0,763074.8559561629,Other Diseases
1817,2018,Others,level 4 musculoskeletal procedures,8663.0,3152173.4983106838,Other Diseases
1818,2018,Others,level 4 neurostimulator and related procedures,698.0,2403313.903838835,Other Diseases
1819,2018,Others,level 4 pacemaker and similar procedures,228.0,650155.4195447575,Respiratory
1820,2018,Others,level 4 urology and related services,3682.0,1281770.6934597103,Other Diseases
1821,2018,Others,level 5 airway endoscopy,767.0,767835.3635582541,Respiratory
1822,2018,Others,level 5 ent procedures,1618.0,1184556.0300609432,Other Diseases
1823,2018,Others,level 5 gynecologic procedures,710.0,639322.5744931754,Other Diseases
1824,2018,Others,level 5 musculoskeletal procedures,5400.0,3999187.6010768386,Other Diseases
1825,2018,Others,level 5 urology and related services,7143.0,1881007.4001461817,Other Diseases
1826,2018,Others,level 6 gynecologic procedures,343.0,397999.3681918856,Other Diseases
1827,2018,Others,level 6 musculoskeletal procedures,17.0,45074.8994444444,Other Diseases
1828,2018,Others,level 6 urology and related services,380.0,472428.3125495444,Other Diseases
1829,2018,Others,level 7 radiation therapy,395.0,614356.9497674818,Other Diseases
1830,2018,Others,level 7 urology and related services,104.0,256630.17164583292,Other Diseases
1831,2018,Others,abdominal/peritoneal/biliary and related procedures,1152.0,632606.12271999,Other Diseases
1832,2018,Others,cochlear implant procedure,118.0,437714.5972676005,Other Diseases
1833,2018,Others,complex gi procedures,164.0,126909.65781725128,Other Diseases
1834,2018,Others,comprehensive observation services,19199.0,842331.5107131427,Other Diseases
1835,2018,Others,implantation wireless pa pressure monitor,13.0,177539.906153846,Other Diseases
1836,2018,Others,implantation of drug infusion device,118.0,339959.2573859201,Other Diseases
1837,2018,Others,level 1 breast/lymphatic surgery and related procedures,657.0,409612.9969966644,Other Diseases
1838,2018,Others,level 1 endovascular procedures,9003.0,787644.2790855645,Other Diseases
1839,2018,Others,level 1 icd and similar procedures,149.0,751297.1046112087,Respiratory
1840,2018,Others,level 1 intraocular procedures,5570.0,372366.19164681673,Other Diseases
1841,2018,Others,level 1 laparoscopy and related services,3625.0,1320144.5497383652,Other Diseases
1842,2018,Others,level 1 nerve procedures,3505.0,563793.4567701942,Other Diseases
1843,2018,Others,level 2 breast/lymphatic surgery and related procedures,884.0,653398.699358272,Other Diseases
1844,2018,Others,level 2 electrophysiologic procedures,42.0,75838.1274090907,Respiratory
1845,2018,Others,level 2 endovascular procedures,2338.0,898307.142981751,Other Diseases
1846,2018,Others,level 2 excision/ biopsy/ incision and drainage,5887.0,472499.36665933876,Other Diseases
1847,2018,Others,level 2 icd and similar procedures,641.0,2242216.6453186227,Respiratory
1848,2018,Others,level 2 intraocular procedures,996.0,162186.5464377229,Other Diseases
1849,2018,Others,level 2 laparoscopy and related services,1141.0,1257081.8964159833,Other Diseases
1850,2018,Others,level 2 musculoskeletal procedures,2053.0,462364.98712364415,Other Diseases
1851,2018,Others,level 2 nerve procedures,19.0,43685.372,Other Diseases
1852,2018,Others,level 2 neurostimulator and related procedures,463.0,374936.5830369087,Other Diseases
1853,2018,Others,level 2 pacemaker and similar procedures,706.0,647256.4961836647,Respiratory
1854,2018,Others,level 2 upper gi procedures,3265.0,379702.39643534884,Other Diseases
1855,2018,Others,level 3 airway endoscopy,433.0,210220.93899659996,Other Diseases
1856,2018,Others,level 3 breast/lymphatic surgery and related procedures,39.0,28600.7669230769,Other Diseases
1857,2018,Others,level 3 electrophysiologic procedures,1009.0,1176755.0640315847,Respiratory
1858,2018,Others,level 3 endovascular procedures,4350.0,1959060.3966066649,Other Diseases
1859,2018,Others,level 3 excision/ biopsy/ incision and drainage,1089.0,560707.3644357356,Other Diseases
1860,2018,Others,"level 3 extraocular, repair, and plastic eye procedures",514.0,132023.74230634916,Other Diseases
1861,2018,Others,level 3 lower gi procedures,297.0,138178.9291082913,Other Diseases
1862,2018,Others,level 3 musculoskeletal procedures,4574.0,967154.6918689073,Other Diseases
1863,2018,Others,level 3 neurostimulator and related procedures,154.0,572162.6783567381,Other Diseases
1864,2018,Others,level 3 pacemaker and similar procedures,1124.0,1222628.6916575425,Respiratory
1865,2018,Others,level 3 upper gi procedures,303.0,167887.7085757791,Other Diseases
1866,2018,Others,level 3 urology and related services,2307.0,473549.56370367185,Other Diseases
1867,2018,Others,level 4 airway endoscopy,886.0,315658.79177631193,Respiratory
1868,2018,Others,level 4 breast/lymphatic surgery and related procedures,11.0,108253.208333333,Other Diseases
1869,2018,Others,level 4 ent procedures,194.0,172946.69182836122,Other Diseases
1870,2018,Others,level 4 endovascular procedures,1009.0,1346693.5521644347,Other Diseases
1871,2018,Others,"level 4 extraocular, repair, and plastic eye procedures",79.0,66722.9691275659,Other Diseases
1872,2018,Others,level 4 gynecologic procedures,474.0,274799.9135985718,Other Diseases
1873,2018,Others,level 4 musculoskeletal procedures,5267.0,1861675.282925449,Other Diseases
1874,2018,Others,level 4 neurostimulator and related procedures,633.0,2189411.297960424,Other Diseases
1875,2018,Others,level 4 pacemaker and similar procedures,98.0,407824.1724498652,Respiratory
1876,2018,Others,level 4 urology and related services,1487.0,521983.3558388854,Other Diseases
1877,2018,Others,level 5 airway endoscopy,405.0,628371.8308109879,Respiratory
1878,2018,Others,level 5 ent procedures,682.0,417421.3654117224,Other Diseases
1879,2018,Others,level 5 gynecologic procedures,395.0,440116.8249657855,Other Diseases
1880,2018,Others,level 5 musculoskeletal procedures,1612.0,2089590.429227848,Other Diseases
1881,2018,Others,level 5 urology and related services,2990.0,889718.3360383804,Other Diseases
1882,2018,Others,level 6 gynecologic procedures,55.0,133304.7585384614,Other Diseases
1883,2018,Others,level 6 musculoskeletal procedures,101.0,316210.9063148146,Other Diseases
1884,2018,Others,level 6 urology and related services,212.0,290143.7546153439,Other Diseases
1885,2018,Others,level 7 radiation therapy,117.0,382229.8908830264,Other Diseases
1886,2018,Others,level 7 urology and related services,72.0,407444.80381818087,Other Diseases
1887,2018,Others,abdominal/peritoneal/biliary and related procedures,1053.0,372071.2246985556,Other Diseases
1888,2018,Others,cochlear implant procedure,57.0,163343.30357894732,Other Diseases
1889,2018,Others,complex gi procedures,158.0,101287.82656329901,Other Diseases
1890,2018,Others,comprehensive observation services,10452.0,420660.97709152295,Other Diseases
1891,2018,Others,implantation wireless pa pressure monitor,12.0,64235.675,Other Diseases
1892,2018,Others,implantation of drug infusion device,27.0,73924.8897916666,Other Diseases
1893,2018,Others,level 1 breast/lymphatic surgery and related procedures,448.0,257823.2559802279,Other Diseases
1894,2018,Others,level 1 endovascular procedures,2898.0,320756.52257223736,Other Diseases
1895,2018,Others,level 1 icd and similar procedures,22.0,141953.97272727272,Respiratory
1896,2018,Others,level 1 intraocular procedures,2681.0,137680.59656571064,Other Diseases
1897,2018,Others,level 1 laparoscopy and related services,1899.0,667572.2899896523,Other Diseases
1898,2018,Others,level 1 nerve procedures,674.0,147213.39282049262,Other Diseases
1899,2018,Others,level 2 breast/lymphatic surgery and related procedures,674.0,425574.69795660593,Other Diseases
1900,2018,Others,level 2 electrophysiologic procedures,47.0,65816.3151666666,Respiratory
1901,2018,Others,level 2 endovascular procedures,727.0,393612.1026087021,Other Diseases
1902,2018,Others,level 2 excision/ biopsy/ incision and drainage,3839.0,188501.9427468752,Other Diseases
1903,2018,Others,level 2 icd and similar procedures,294.0,817700.4394260411,Respiratory
1904,2018,Others,level 2 intraocular procedures,969.0,105220.11987370081,Other Diseases
1905,2018,Others,level 2 laparoscopy and related services,759.0,511118.5105372134,Other Diseases
1906,2018,Others,level 2 musculoskeletal procedures,999.0,219751.5483630005,Other Diseases
1907,2018,Others,level 2 nerve procedures,11.0,25982.3509090909,Other Diseases
1908,2018,Others,level 2 neurostimulator and related procedures,134.0,127747.358525132,Other Diseases
1909,2018,Others,level 2 pacemaker and similar procedures,252.0,210515.575367516,Respiratory
1910,2018,Others,level 2 upper gi procedures,1609.0,176715.53550601567,Other Diseases
1911,2018,Others,level 3 airway endoscopy,419.0,58001.333466118886,Other Diseases
1912,2018,Others,level 3 electrophysiologic procedures,693.0,679049.1287485755,Respiratory
1913,2018,Others,level 3 endovascular procedures,1362.0,805628.3457790104,Other Diseases
1914,2018,Others,level 3 excision/ biopsy/ incision and drainage,460.0,244292.57416704652,Other Diseases
1915,2018,Others,"level 3 extraocular, repair, and plastic eye procedures",552.0,57569.11614619229,Other Diseases
1916,2018,Others,level 3 lower gi procedures,127.0,63011.96124629466,Other Diseases
1917,2018,Others,level 3 musculoskeletal procedures,1310.0,404998.71798822656,Other Diseases
1918,2018,Others,level 3 neurostimulator and related procedures,64.0,189356.4270220587,Other Diseases
1919,2018,Others,level 3 pacemaker and similar procedures,659.0,642944.9165367652,Respiratory
1920,2018,Others,level 3 upper gi procedures,248.0,118922.17878490915,Other Diseases
1921,2018,Others,level 3 urology and related services,1183.0,173756.16134850038,Other Diseases
1922,2018,Others,level 4 airway endoscopy,559.0,195917.9898834066,Respiratory
1923,2018,Others,level 4 ent procedures,93.0,55728.527110389434,Other Diseases
1924,2018,Others,level 4 endovascular procedures,308.0,912920.485028919,Other Diseases
1925,2018,Others,"level 4 extraocular, repair, and plastic eye procedures",94.0,10381.9474999999,Other Diseases
1926,2018,Others,level 4 gynecologic procedures,383.0,193265.43017296583,Other Diseases
1927,2018,Others,level 4 musculoskeletal procedures,2513.0,748489.4705983271,Other Diseases
1928,2018,Others,level 4 neurostimulator and related procedures,319.0,651982.9893087724,Other Diseases
1929,2018,Others,level 4 pacemaker and similar procedures,102.0,332424.5449973545,Respiratory
1930,2018,Others,level 4 urology and related services,962.0,321770.03733814653,Other Diseases
1931,2018,Others,level 5 airway endoscopy,176.0,141143.9318311511,Respiratory
1932,2018,Others,level 5 ent procedures,506.0,285368.5351123763,Other Diseases
1933,2018,Others,level 5 gynecologic procedures,210.0,172959.191977245,Other Diseases
1934,2018,Others,level 5 musculoskeletal procedures,1568.0,951769.439639848,Other Diseases
1935,2018,Others,level 5 urology and related services,1906.0,481902.9169331776,Other Diseases
1936,2018,Others,level 6 gynecologic procedures,33.0,50714.630454545404,Other Diseases
1937,2018,Others,level 6 musculoskeletal procedures,46.0,108351.5668796068,Other Diseases
1938,2018,Others,level 6 urology and related services,77.0,137563.5497518036,Other Diseases
1939,2018,Others,level 7 radiation therapy,114.0,232609.0352998093,Other Diseases
1940,2018,Others,level 7 urology and related services,63.0,157892.1670863525,Other Diseases
1941,2018,PA,abdominal/peritoneal/biliary and related procedures,4569.0,2187523.003056374,Other Diseases
1942,2018,PA,cochlear implant procedure,80.0,370419.4383216781,Other Diseases
1943,2018,PA,complex gi procedures,606.0,613108.3877613352,Other Diseases
1944,2018,PA,comprehensive observation services,58422.0,2158245.823651281,Other Diseases
1945,2018,PA,implantation of drug infusion device,57.0,221597.8367045449,Other Diseases
1946,2018,PA,level 1 breast/lymphatic surgery and related procedures,2290.0,1510711.4627531255,Other Diseases
1947,2018,PA,level 1 electrophysiologic procedures,13.0,5961.46153846153,Other Diseases
1948,2018,PA,level 1 endovascular procedures,13967.0,1909120.1820714613,Other Diseases
1949,2018,PA,level 1 icd and similar procedures,270.0,2044513.154632016,Respiratory
1950,2018,PA,level 1 intraocular procedures,13005.0,1033691.534472307,Other Diseases
1951,2018,PA,level 1 laparoscopy and related services,7422.0,3553179.0365271876,Other Diseases
1952,2018,PA,level 1 nerve procedures,5361.0,1146042.8102356317,Other Diseases
1953,2018,PA,level 2 breast/lymphatic surgery and related procedures,2381.0,2505280.5336718266,Other Diseases
1954,2018,PA,level 2 electrophysiologic procedures,74.0,263373.1346806739,Respiratory
1955,2018,PA,level 2 endovascular procedures,4008.0,2521095.036542589,Other Diseases
1956,2018,PA,level 2 excision/ biopsy/ incision and drainage,18612.0,1397079.3464801433,Other Diseases
1957,2018,PA,level 2 icd and similar procedures,1736.0,8873545.2983412,Respiratory
1958,2018,PA,level 2 intraocular procedures,2806.0,825414.1374840834,Other Diseases
1959,2018,PA,level 2 laparoscopy and related services,2410.0,2626729.274800885,Other Diseases
1960,2018,PA,level 2 musculoskeletal procedures,4627.0,1234533.8778658798,Other Diseases
1961,2018,PA,level 2 nerve procedures,25.0,85792.3507142857,Other Diseases
1962,2018,PA,level 2 neurostimulator and related procedures,382.0,531860.9983662892,Other Diseases
1963,2018,PA,level 2 pacemaker and similar procedures,1440.0,1883786.454004485,Respiratory
1964,2018,PA,level 2 upper gi procedures,7957.0,1035673.1564336687,Other Diseases
1965,2018,PA,level 3 airway endoscopy,1566.0,471943.33181983035,Other Diseases
1966,2018,PA,level 3 electrophysiologic procedures,2360.0,5653094.211404968,Respiratory
1967,2018,PA,level 3 endovascular procedures,6813.0,5270893.397511555,Other Diseases
1968,2018,PA,level 3 excision/ biopsy/ incision and drainage,2414.0,1522440.087698931,Other Diseases
1969,2018,PA,"level 3 extraocular, repair, and plastic eye procedures",1373.0,335953.53681906755,Other Diseases
1970,2018,PA,level 3 intraocular procedures,16.0,44346.61875,Other Diseases
1971,2018,PA,level 3 lower gi procedures,707.0,619622.0761197043,Other Diseases
1972,2018,PA,level 3 musculoskeletal procedures,7006.0,2405487.8537362185,Other Diseases
1973,2018,PA,level 3 neurostimulator and related procedures,375.0,1869453.8040832025,Other Diseases
1974,2018,PA,level 3 pacemaker and similar procedures,2399.0,3645748.2078760434,Respiratory
1975,2018,PA,level 3 upper gi procedures,964.0,638093.4840119671,Other Diseases
1976,2018,PA,level 3 urology and related services,7335.0,1374796.797130681,Other Diseases
1977,2018,PA,level 4 airway endoscopy,3203.0,1212479.338731342,Respiratory
1978,2018,PA,level 4 breast/lymphatic surgery and related procedures,12.0,98990.7066666667,Other Diseases
1979,2018,PA,level 4 ent procedures,440.0,280010.5403028082,Other Diseases
1980,2018,PA,level 4 endovascular procedures,1033.0,3432279.2595844017,Other Diseases
1981,2018,PA,"level 4 extraocular, repair, and plastic eye procedures",244.0,146870.2037156861,Other Diseases
1982,2018,PA,level 4 gynecologic procedures,2665.0,1368987.8833423834,Other Diseases
1983,2018,PA,level 4 musculoskeletal procedures,8336.0,4084231.237056474,Other Diseases
1984,2018,PA,level 4 neurostimulator and related procedures,786.0,3568853.830564877,Other Diseases
1985,2018,PA,level 4 pacemaker and similar procedures,202.0,1252436.9980346512,Respiratory
1986,2018,PA,level 4 urology and related services,4394.0,1857186.7634422623,Other Diseases
1987,2018,PA,level 5 airway endoscopy,918.0,1106491.6502570908,Respiratory
1988,2018,PA,level 5 ent procedures,1802.0,1422475.7671964967,Other Diseases
1989,2018,PA,level 5 gynecologic procedures,669.0,869427.3695264512,Other Diseases
1990,2018,PA,level 5 musculoskeletal procedures,3982.0,3797659.91123517,Other Diseases
1991,2018,PA,level 5 urology and related services,7106.0,2878371.280007154,Other Diseases
1992,2018,PA,level 6 gynecologic procedures,207.0,364923.2337586829,Other Diseases
1993,2018,PA,level 6 musculoskeletal procedures,39.0,166995.82920634898,Other Diseases
1994,2018,PA,level 6 urology and related services,320.0,693377.174043033,Other Diseases
1995,2018,PA,level 7 radiation therapy,675.0,927146.1153017764,Other Diseases
1996,2018,PA,level 7 urology and related services,164.0,885768.5920669464,Other Diseases
1997,2018,Others,abdominal/peritoneal/biliary and related procedures,359.0,70836.04172492668,Other Diseases
1998,2018,Others,complex gi procedures,35.0,41204.0996091953,Other Diseases
1999,2018,Others,comprehensive observation services,3801.0,132577.3678478476,Other Diseases
2000,2018,Others,level 1 breast/lymphatic surgery and related procedures,239.0,87435.65500069033,Other Diseases
2001,2018,Others,level 1 endovascular procedures,531.0,78342.25242332794,Other Diseases
2002,2018,Others,level 1 intraocular procedures,580.0,46672.09305366391,Other Diseases
2003,2018,Others,level 1 laparoscopy and related services,513.0,159938.6360445977,Other Diseases
2004,2018,Others,level 1 nerve procedures,455.0,32077.57581181404,Other Diseases
2005,2018,Others,level 2 breast/lymphatic surgery and related procedures,179.0,91846.7284588825,Other Diseases
2006,2018,Others,level 2 endovascular procedures,90.0,69966.377861467,Other Diseases
2007,2018,Others,level 2 excision/ biopsy/ incision and drainage,1422.0,62294.94690929563,Other Diseases
2008,2018,Others,level 2 icd and similar procedures,91.0,239587.8113244258,Respiratory
2009,2018,Others,level 2 intraocular procedures,122.0,8815.88791366906,Other Diseases
2010,2018,Others,level 2 laparoscopy and related services,119.0,89390.7414117642,Other Diseases
2011,2018,Others,level 2 musculoskeletal procedures,425.0,42670.75479022459,Other Diseases
2012,2018,Others,level 2 neurostimulator and related procedures,14.0,24209.5983333333,Other Diseases
2013,2018,Others,level 2 pacemaker and similar procedures,78.0,76151.4391011904,Respiratory
2014,2018,Others,level 2 upper gi procedures,734.0,68635.36886255404,Other Diseases
2015,2018,Others,level 3 airway endoscopy,64.0,18284.8071000624,Other Diseases
2016,2018,Others,level 3 electrophysiologic procedures,61.0,58511.86078125,Respiratory
2017,2018,Others,level 3 endovascular procedures,404.0,275198.16589310986,Other Diseases
2018,2018,Others,level 3 excision/ biopsy/ incision and drainage,189.0,44776.275382983586,Other Diseases
2019,2018,Others,"level 3 extraocular, repair, and plastic eye procedures",69.0,4790.61597222222,Other Diseases
2020,2018,Others,level 3 lower gi procedures,44.0,15596.397791563271,Other Diseases
2021,2018,Others,level 3 musculoskeletal procedures,672.0,49824.22517342082,Other Diseases
2022,2018,Others,level 3 neurostimulator and related procedures,15.0,53942.0982352941,Other Diseases
2023,2018,Others,level 3 pacemaker and similar procedures,88.0,85887.6958684862,Respiratory
2024,2018,Others,level 3 upper gi procedures,76.0,44507.89472222215,Other Diseases
2025,2018,Others,level 3 urology and related services,567.0,68599.9677684011,Other Diseases
2026,2018,Others,level 4 airway endoscopy,113.0,43236.3707104235,Respiratory
2027,2018,Others,level 4 endovascular procedures,32.0,78527.0108333333,Other Diseases
2028,2018,Others,"level 4 extraocular, repair, and plastic eye procedures",24.0,5576.00653846154,Other Diseases
2029,2018,Others,level 4 gynecologic procedures,159.0,14286.91053401359,Other Diseases
2030,2018,Others,level 4 musculoskeletal procedures,646.0,151082.85961579048,Other Diseases
2031,2018,Others,level 4 neurostimulator and related procedures,28.0,62123.3189285714,Other Diseases
2032,2018,Others,level 4 urology and related services,381.0,72664.3248040723,Other Diseases
2033,2018,Others,level 5 airway endoscopy,16.0,17795.8468749999,Respiratory
2034,2018,Others,level 5 ent procedures,88.0,44039.387282051204,Other Diseases
2035,2018,Others,level 5 gynecologic procedures,86.0,51101.9242640691,Other Diseases
2036,2018,Others,level 5 musculoskeletal procedures,355.0,209291.7350526612,Other Diseases
2037,2018,Others,level 5 urology and related services,532.0,106758.35103790516,Other Diseases
2038,2018,Others,level 6 gynecologic procedures,56.0,52439.2894696969,Other Diseases
2039,2018,Others,level 6 urology and related services,13.0,18277.0771428571,Other Diseases
2040,2018,Others,level 7 radiation therapy,38.0,28184.497368421,Other Diseases
2041,2018,Others,abdominal/peritoneal/biliary and related procedures,1963.0,925350.3708338061,Other Diseases
2042,2018,Others,cochlear implant procedure,93.0,189487.79554655822,Other Diseases
2043,2018,Others,complex gi procedures,250.0,179822.2180427839,Other Diseases
2044,2018,Others,comprehensive observation services,22958.0,820643.6064304669,Other Diseases
2045,2018,Others,implantation wireless pa pressure monitor,77.0,200304.484603174,Other Diseases
2046,2018,Others,implantation of drug infusion device,16.0,51812.3125,Other Diseases
2047,2018,Others,level 1 breast/lymphatic surgery and related procedures,1197.0,644295.2627645979,Other Diseases
2048,2018,Others,level 1 electrophysiologic procedures,15.0,7992.13333333333,Other Diseases
2049,2018,Others,level 1 endovascular procedures,7713.0,722690.168800312,Other Diseases
2050,2018,Others,level 1 icd and similar procedures,202.0,963862.1658629685,Respiratory
2051,2018,Others,level 1 intraocular procedures,3859.0,207071.17587490872,Other Diseases
2052,2018,Others,level 1 laparoscopy and related services,4366.0,1465244.095448817,Other Diseases
2053,2018,Others,level 1 nerve procedures,2221.0,367347.73655618547,Other Diseases
2054,2018,Others,level 2 breast/lymphatic surgery and related procedures,1346.0,947743.5517160961,Other Diseases
2055,2018,Others,level 2 electrophysiologic procedures,160.0,338116.8264065379,Respiratory
2056,2018,Others,level 2 endovascular procedures,2676.0,731498.5341935436,Other Diseases
2057,2018,Others,level 2 excision/ biopsy/ incision and drainage,7771.0,439085.0832325043,Other Diseases
2058,2018,Others,level 2 icd and similar procedures,891.0,2682054.262963438,Respiratory
2059,2018,Others,level 2 intraocular procedures,929.0,289582.1221933017,Other Diseases
2060,2018,Others,level 2 laparoscopy and related services,1255.0,1211541.461737268,Other Diseases
2061,2018,Others,level 2 musculoskeletal procedures,2112.0,476562.36475544947,Other Diseases
2062,2018,Others,level 2 nerve procedures,27.0,68857.3466666665,Other Diseases
2063,2018,Others,level 2 neurostimulator and related procedures,123.0,131983.4310486551,Other Diseases
2064,2018,Others,level 2 pacemaker and similar procedures,980.0,607562.463871659,Respiratory
2065,2018,Others,level 2 upper gi procedures,3919.0,394954.16398814006,Other Diseases
2066,2018,Others,level 3 airway endoscopy,1558.0,258876.035056607,Other Diseases
2067,2018,Others,level 3 electrophysiologic procedures,1584.0,2014548.8193455592,Respiratory
2068,2018,Others,level 3 endovascular procedures,3961.0,1452405.544141897,Other Diseases
2069,2018,Others,level 3 excision/ biopsy/ incision and drainage,1219.0,605001.1773089414,Other Diseases
2070,2018,Others,"level 3 extraocular, repair, and plastic eye procedures",696.0,107130.2783688499,Other Diseases
2071,2018,Others,level 3 lower gi procedures,435.0,283789.1325385682,Other Diseases
2072,2018,Others,level 3 musculoskeletal procedures,3479.0,996606.841420185,Other Diseases
2073,2018,Others,level 3 neurostimulator and related procedures,287.0,902143.0776121181,Other Diseases
2074,2018,Others,level 3 pacemaker and similar procedures,1700.0,1578215.2719294871,Respiratory
2075,2018,Others,level 3 upper gi procedures,417.0,166910.168621186,Other Diseases
2076,2018,Others,level 3 urology and related services,3083.0,504111.0585671287,Other Diseases
2077,2018,Others,level 4 airway endoscopy,1398.0,428251.2031197412,Respiratory
2078,2018,Others,level 4 ent procedures,136.0,95269.853604231,Other Diseases
2079,2018,Others,level 4 endovascular procedures,643.0,1324262.25221653,Other Diseases
2080,2018,Others,"level 4 extraocular, repair, and plastic eye procedures",104.0,51024.5931216931,Other Diseases
2081,2018,Others,level 4 gynecologic procedures,809.0,494849.58261572063,Other Diseases
2082,2018,Others,level 4 musculoskeletal procedures,5403.0,1643171.1672853224,Other Diseases
2083,2018,Others,level 4 neurostimulator and related procedures,666.0,2125692.7339071636,Other Diseases
2084,2018,Others,level 4 pacemaker and similar procedures,224.0,1091900.7594252054,Respiratory
2085,2018,Others,level 4 urology and related services,1781.0,601756.8382978523,Other Diseases
2086,2018,Others,level 5 airway endoscopy,331.0,413347.527099722,Respiratory
2087,2018,Others,level 5 ent procedures,771.0,498291.02878045134,Other Diseases
2088,2018,Others,level 5 gynecologic procedures,503.0,412044.4057998684,Other Diseases
2089,2018,Others,level 5 musculoskeletal procedures,3767.0,2218864.917643413,Other Diseases
2090,2018,Others,level 5 urology and related services,4259.0,1007602.0997864571,Other Diseases
2091,2018,Others,level 6 gynecologic procedures,91.0,124443.5694036773,Other Diseases
2092,2018,Others,level 6 musculoskeletal procedures,95.0,392090.3714832535,Other Diseases
2093,2018,Others,level 6 urology and related services,223.0,420578.361694626,Other Diseases
2094,2018,Others,level 7 radiation therapy,169.0,225924.08945501572,Other Diseases
2095,2018,Others,level 7 urology and related services,136.0,451632.7602952845,Other Diseases
2096,2018,Others,abdominal/peritoneal/biliary and related procedures,449.0,137248.41817556828,Other Diseases
2097,2018,Others,cochlear implant procedure,13.0,60558.2369230769,Other Diseases
2098,2018,Others,complex gi procedures,148.0,60632.88597068041,Other Diseases
2099,2018,Others,comprehensive observation services,3874.0,133835.89884413904,Other Diseases
2100,2018,Others,implantation wireless pa pressure monitor,32.0,88908.844375,Other Diseases
2101,2018,Others,implantation of drug infusion device,30.0,105782.2773684209,Other Diseases
2102,2018,Others,level 1 breast/lymphatic surgery and related procedures,180.0,70552.91445330129,Other Diseases
2103,2018,Others,level 1 endovascular procedures,2288.0,94894.7549042241,Other Diseases
2104,2018,Others,level 1 icd and similar procedures,34.0,143627.1795454545,Respiratory
2105,2018,Others,level 1 intraocular procedures,1854.0,63045.77785133276,Other Diseases
2106,2018,Others,level 1 laparoscopy and related services,1003.0,262571.7877209568,Other Diseases
2107,2018,Others,level 1 nerve procedures,1579.0,93602.21744159695,Other Diseases
2108,2018,Others,level 2 breast/lymphatic surgery and related procedures,367.0,198161.333432383,Other Diseases
2109,2018,Others,level 2 electrophysiologic procedures,54.0,39128.706979362,Respiratory
2110,2018,Others,level 2 endovascular procedures,464.0,155395.7385686476,Other Diseases
2111,2018,Others,level 2 excision/ biopsy/ incision and drainage,2651.0,92286.23536315314,Other Diseases
2112,2018,Others,level 2 icd and similar procedures,180.0,413191.4801246735,Respiratory
2113,2018,Others,level 2 intraocular procedures,48.0,35486.35744107728,Other Diseases
2114,2018,Others,level 2 laparoscopy and related services,502.0,280285.4890978208,Other Diseases
2115,2018,Others,level 2 musculoskeletal procedures,1084.0,83745.65037617093,Other Diseases
